@RELATION traces 

@ATTRIBUTE program 	{chess, gantt, itrust, jhotdraw}
@ATTRIBUTE RequirementID	REAL
@ATTRIBUTE MethodID REAL 


@DATA
chess,2,32
chess,3,32
chess,4,32
chess,5,32
chess,6,32
chess,7,32
chess,8,32
chess,1,33
chess,2,33
chess,3,33
chess,4,33
chess,5,33
chess,6,33
chess,7,33
chess,8,33
chess,1,34
chess,2,34
chess,3,34
chess,4,34
chess,5,34
chess,6,34
chess,7,34
chess,8,34
chess,1,35
chess,2,35
chess,3,35
chess,4,35
chess,5,35
chess,6,35
chess,7,35
chess,8,35
chess,1,36
chess,2,36
chess,3,36
chess,4,36
chess,5,36
chess,6,36
chess,7,36
chess,8,36
chess,1,38
chess,2,38
chess,3,38
chess,4,38
chess,5,38
chess,6,38
chess,7,38
chess,8,38
chess,1,40
chess,2,40
chess,3,40
chess,4,40
chess,5,40
chess,6,40
chess,7,40
chess,8,40
chess,1,42
chess,2,42
chess,3,42
chess,4,42
chess,5,42
chess,6,42
chess,7,42
chess,8,42
chess,1,43
chess,2,43
chess,3,43
chess,4,43
chess,5,43
chess,6,43
chess,7,43
chess,8,43
chess,1,44
chess,2,44
chess,3,44
chess,4,44
chess,5,44
chess,6,44
chess,7,44
chess,8,44
chess,1,45
chess,2,45
chess,3,45
chess,4,45
chess,5,45
chess,6,45
chess,7,45
chess,8,45
chess,1,47
chess,2,47
chess,3,47
chess,4,47
chess,5,47
chess,6,47
chess,7,47
chess,8,47
chess,1,49
chess,2,49
chess,3,49
chess,4,49
chess,5,49
chess,6,49
chess,7,49
chess,8,49
chess,1,50
chess,2,50
chess,3,50
chess,4,50
chess,5,50
chess,6,50
chess,7,50
chess,8,50
chess,1,52
chess,2,52
chess,3,52
chess,4,52
chess,5,52
chess,6,52
chess,7,52
chess,8,52
chess,1,53
chess,2,53
chess,3,53
chess,4,53
chess,5,53
chess,6,53
chess,7,53
chess,8,53
chess,1,54
chess,2,54
chess,3,54
chess,4,54
chess,5,54
chess,6,54
chess,7,54
chess,8,54
chess,1,55
chess,2,55
chess,3,55
chess,4,55
chess,5,55
chess,6,55
chess,7,55
chess,8,55
chess,1,60
chess,2,60
chess,3,60
chess,4,60
chess,5,60
chess,6,60
chess,7,60
chess,8,60
chess,1,61
chess,2,61
chess,3,61
chess,4,61
chess,5,61
chess,6,61
chess,7,61
chess,8,61
chess,1,62
chess,2,62
chess,3,62
chess,4,62
chess,5,62
chess,6,62
chess,7,62
chess,8,62
chess,1,64
chess,2,64
chess,3,64
chess,4,64
chess,5,64
chess,6,64
chess,7,64
chess,8,64
chess,1,65
chess,2,65
chess,3,65
chess,4,65
chess,5,65
chess,6,65
chess,7,65
chess,8,65
chess,1,67
chess,2,67
chess,3,67
chess,4,67
chess,5,67
chess,6,67
chess,7,67
chess,8,67
chess,1,68
chess,2,68
chess,3,68
chess,4,68
chess,5,68
chess,6,68
chess,7,68
chess,8,68
chess,1,69
chess,2,69
chess,3,69
chess,4,69
chess,5,69
chess,6,69
chess,7,69
chess,8,69
chess,1,70
chess,2,70
chess,3,70
chess,4,70
chess,5,70
chess,6,70
chess,7,70
chess,8,70
chess,1,71
chess,2,71
chess,3,71
chess,4,71
chess,5,71
chess,6,71
chess,7,71
chess,8,71
chess,1,124
chess,2,124
chess,3,124
chess,4,124
chess,5,124
chess,6,124
chess,7,124
chess,8,124
chess,1,125
chess,2,125
chess,3,125
chess,4,125
chess,5,125
chess,6,125
chess,7,125
chess,8,125
chess,1,126
chess,2,126
chess,3,126
chess,4,126
chess,5,126
chess,6,126
chess,7,126
chess,8,126
chess,1,127
chess,2,127
chess,3,127
chess,4,127
chess,5,127
chess,6,127
chess,7,127
chess,8,127
chess,1,128
chess,2,128
chess,3,128
chess,4,128
chess,5,128
chess,6,128
chess,7,128
chess,8,128
chess,1,129
chess,2,129
chess,3,129
chess,4,129
chess,5,129
chess,6,129
chess,7,129
chess,8,129
chess,1,130
chess,2,130
chess,3,130
chess,4,130
chess,5,130
chess,6,130
chess,7,130
chess,8,130
chess,1,131
chess,2,131
chess,3,131
chess,4,131
chess,5,131
chess,6,131
chess,7,131
chess,8,131
chess,1,132
chess,2,132
chess,3,132
chess,4,132
chess,5,132
chess,6,132
chess,7,132
chess,8,132
chess,1,133
chess,2,133
chess,3,133
chess,4,133
chess,5,133
chess,6,133
chess,7,133
chess,8,133
chess,1,134
chess,2,134
chess,3,134
chess,4,134
chess,5,134
chess,6,134
chess,7,134
chess,8,134
chess,1,135
chess,2,135
chess,3,135
chess,4,135
chess,5,135
chess,6,135
chess,7,135
chess,8,135
chess,1,136
chess,2,136
chess,3,136
chess,4,136
chess,5,136
chess,6,136
chess,7,136
chess,8,136
chess,1,153
chess,2,153
chess,3,153
chess,4,153
chess,5,153
chess,6,153
chess,7,153
chess,8,153
chess,1,155
chess,2,155
chess,3,155
chess,4,155
chess,5,155
chess,6,155
chess,7,155
chess,8,155
chess,1,156
chess,2,156
chess,3,156
chess,4,156
chess,5,156
chess,6,156
chess,7,156
chess,8,156
chess,1,158
chess,2,158
chess,3,158
chess,4,158
chess,5,158
chess,6,158
chess,7,158
chess,8,158
chess,1,159
chess,2,159
chess,3,159
chess,4,159
chess,5,159
chess,6,159
chess,7,159
chess,8,159
chess,1,160
chess,2,160
chess,3,160
chess,4,160
chess,5,160
chess,6,160
chess,7,160
chess,8,160
chess,1,162
chess,2,162
chess,3,162
chess,4,162
chess,5,162
chess,6,162
chess,7,162
chess,8,162
chess,1,163
chess,2,163
chess,3,163
chess,4,163
chess,5,163
chess,6,163
chess,7,163
chess,8,163
chess,1,164
chess,2,164
chess,3,164
chess,4,164
chess,5,164
chess,6,164
chess,7,164
chess,8,164
chess,1,165
chess,2,165
chess,3,165
chess,4,165
chess,5,165
chess,6,165
chess,7,165
chess,8,165
chess,1,166
chess,2,166
chess,3,166
chess,4,166
chess,5,166
chess,6,166
chess,7,166
chess,8,166
chess,1,167
chess,2,167
chess,3,167
chess,4,167
chess,5,167
chess,6,167
chess,7,167
chess,8,167
chess,1,168
chess,2,168
chess,3,168
chess,4,168
chess,5,168
chess,6,168
chess,7,168
chess,8,168
chess,1,169
chess,2,169
chess,3,169
chess,4,169
chess,5,169
chess,6,169
chess,7,169
chess,8,169
chess,1,170
chess,2,170
chess,3,170
chess,4,170
chess,5,170
chess,6,170
chess,7,170
chess,8,170
chess,1,171
chess,2,171
chess,3,171
chess,4,171
chess,5,171
chess,6,171
chess,7,171
chess,8,171
chess,1,172
chess,2,172
chess,3,172
chess,4,172
chess,5,172
chess,6,172
chess,7,172
chess,8,172
chess,1,173
chess,2,173
chess,3,173
chess,4,173
chess,5,173
chess,6,173
chess,7,173
chess,8,173
chess,1,174
chess,2,174
chess,3,174
chess,4,174
chess,5,174
chess,6,174
chess,7,174
chess,8,174
chess,1,175
chess,2,175
chess,3,175
chess,4,175
chess,5,175
chess,6,175
chess,7,175
chess,8,175
chess,1,176
chess,2,176
chess,3,176
chess,4,176
chess,5,176
chess,6,176
chess,7,176
chess,8,176
chess,1,177
chess,2,177
chess,3,177
chess,4,177
chess,5,177
chess,6,177
chess,7,177
chess,8,177
chess,1,178
chess,2,178
chess,3,178
chess,4,178
chess,5,178
chess,6,178
chess,7,178
chess,8,178
chess,1,179
chess,2,179
chess,3,179
chess,4,179
chess,5,179
chess,6,179
chess,7,179
chess,8,179
chess,1,180
chess,2,180
chess,3,180
chess,4,180
chess,5,180
chess,6,180
chess,7,180
chess,8,180
chess,1,181
chess,2,181
chess,3,181
chess,4,181
chess,5,181
chess,6,181
chess,7,181
chess,8,181
chess,1,182
chess,2,182
chess,3,182
chess,4,182
chess,5,182
chess,6,182
chess,7,182
chess,8,182
chess,1,183
chess,2,183
chess,3,183
chess,4,183
chess,5,183
chess,6,183
chess,7,183
chess,8,183
chess,1,184
chess,2,184
chess,3,184
chess,4,184
chess,5,184
chess,6,184
chess,7,184
chess,8,184
chess,1,185
chess,2,185
chess,3,185
chess,4,185
chess,5,185
chess,6,185
chess,7,185
chess,8,185
chess,1,186
chess,2,186
chess,3,186
chess,4,186
chess,5,186
chess,6,186
chess,7,186
chess,8,186
chess,1,187
chess,2,187
chess,3,187
chess,4,187
chess,5,187
chess,6,187
chess,7,187
chess,8,187
chess,1,188
chess,2,188
chess,3,188
chess,4,188
chess,5,188
chess,6,188
chess,7,188
chess,8,188
chess,1,190
chess,2,190
chess,3,190
chess,4,190
chess,5,190
chess,6,190
chess,7,190
chess,8,190
chess,1,191
chess,2,191
chess,3,191
chess,4,191
chess,5,191
chess,6,191
chess,7,191
chess,8,191
chess,1,192
chess,2,192
chess,3,192
chess,4,192
chess,5,192
chess,6,192
chess,7,192
chess,8,192
chess,1,193
chess,2,193
chess,3,193
chess,4,193
chess,5,193
chess,6,193
chess,7,193
chess,8,193
chess,1,194
chess,2,194
chess,3,194
chess,4,194
chess,5,194
chess,6,194
chess,7,194
chess,8,194
chess,1,195
chess,2,195
chess,3,195
chess,4,195
chess,5,195
chess,6,195
chess,7,195
chess,8,195
chess,1,196
chess,2,196
chess,3,196
chess,4,196
chess,5,196
chess,6,196
chess,7,196
chess,8,196
chess,1,197
chess,2,197
chess,3,197
chess,4,197
chess,5,197
chess,6,197
chess,7,197
chess,8,197
chess,1,198
chess,2,198
chess,3,198
chess,4,198
chess,5,198
chess,6,198
chess,7,198
chess,8,198
chess,1,199
chess,2,199
chess,3,199
chess,4,199
chess,5,199
chess,6,199
chess,7,199
chess,8,199
chess,1,200
chess,2,200
chess,3,200
chess,4,200
chess,5,200
chess,6,200
chess,7,200
chess,8,200
chess,1,201
chess,2,201
chess,3,201
chess,4,201
chess,5,201
chess,6,201
chess,7,201
chess,8,201
chess,1,202
chess,2,202
chess,3,202
chess,4,202
chess,5,202
chess,6,202
chess,7,202
chess,8,202
chess,1,203
chess,2,203
chess,3,203
chess,4,203
chess,5,203
chess,6,203
chess,7,203
chess,8,203
chess,1,204
chess,2,204
chess,3,204
chess,4,204
chess,5,204
chess,6,204
chess,7,204
chess,8,204
chess,1,205
chess,2,205
chess,3,205
chess,4,205
chess,5,205
chess,6,205
chess,7,205
chess,8,205
chess,1,206
chess,2,206
chess,3,206
chess,4,206
chess,5,206
chess,6,206
chess,7,206
chess,8,206
chess,1,208
chess,2,208
chess,3,208
chess,4,208
chess,5,208
chess,6,208
chess,7,208
chess,8,208
chess,1,209
chess,2,209
chess,3,209
chess,4,209
chess,5,209
chess,6,209
chess,7,209
chess,8,209
chess,1,210
chess,2,210
chess,3,210
chess,4,210
chess,5,210
chess,6,210
chess,7,210
chess,8,210
chess,1,211
chess,2,211
chess,3,211
chess,4,211
chess,5,211
chess,6,211
chess,7,211
chess,8,211
chess,1,212
chess,2,212
chess,3,212
chess,4,212
chess,5,212
chess,6,212
chess,7,212
chess,8,212
chess,1,213
chess,2,213
chess,3,213
chess,4,213
chess,5,213
chess,6,213
chess,7,213
chess,8,213
chess,1,214
chess,2,214
chess,3,214
chess,4,214
chess,5,214
chess,6,214
chess,7,214
chess,8,214
chess,1,215
chess,2,215
chess,3,215
chess,4,215
chess,5,215
chess,6,215
chess,7,215
chess,8,215
chess,1,216
chess,2,216
chess,3,216
chess,4,216
chess,5,216
chess,6,216
chess,7,216
chess,8,216
chess,1,217
chess,2,217
chess,3,217
chess,4,217
chess,5,217
chess,6,217
chess,7,217
chess,8,217
chess,1,218
chess,2,218
chess,3,218
chess,4,218
chess,5,218
chess,6,218
chess,7,218
chess,8,218
chess,1,219
chess,2,219
chess,3,219
chess,4,219
chess,5,219
chess,6,219
chess,7,219
chess,8,219
chess,1,220
chess,2,220
chess,3,220
chess,4,220
chess,5,220
chess,6,220
chess,7,220
chess,8,220
chess,1,222
chess,2,222
chess,3,222
chess,4,222
chess,5,222
chess,6,222
chess,7,222
chess,8,222
chess,1,223
chess,2,223
chess,3,223
chess,4,223
chess,5,223
chess,6,223
chess,7,223
chess,8,223
chess,1,224
chess,2,224
chess,3,224
chess,4,224
chess,5,224
chess,6,224
chess,7,224
chess,8,224
chess,1,225
chess,2,225
chess,3,225
chess,4,225
chess,5,225
chess,6,225
chess,7,225
chess,8,225
chess,1,226
chess,2,226
chess,3,226
chess,4,226
chess,5,226
chess,6,226
chess,7,226
chess,8,226
chess,1,227
chess,2,227
chess,3,227
chess,4,227
chess,5,227
chess,6,227
chess,7,227
chess,8,227
chess,1,228
chess,2,228
chess,3,228
chess,4,228
chess,5,228
chess,6,228
chess,7,228
chess,8,228
chess,1,229
chess,2,229
chess,3,229
chess,4,229
chess,5,229
chess,6,229
chess,7,229
chess,8,229
chess,1,230
chess,2,230
chess,3,230
chess,4,230
chess,5,230
chess,6,230
chess,7,230
chess,8,230
chess,1,231
chess,2,231
chess,3,231
chess,4,231
chess,5,231
chess,6,231
chess,7,231
chess,8,231
chess,1,232
chess,2,232
chess,3,232
chess,4,232
chess,5,232
chess,6,232
chess,7,232
chess,8,232
chess,1,233
chess,2,233
chess,3,233
chess,4,233
chess,5,233
chess,6,233
chess,7,233
chess,8,233
chess,1,234
chess,2,234
chess,3,234
chess,4,234
chess,5,234
chess,6,234
chess,7,234
chess,8,234
chess,1,235
chess,2,235
chess,3,235
chess,4,235
chess,5,235
chess,6,235
chess,7,235
chess,8,235
chess,1,236
chess,2,236
chess,3,236
chess,4,236
chess,5,236
chess,6,236
chess,7,236
chess,8,236
chess,1,237
chess,2,237
chess,3,237
chess,4,237
chess,5,237
chess,6,237
chess,7,237
chess,8,237
chess,1,238
chess,2,238
chess,3,238
chess,4,238
chess,5,238
chess,6,238
chess,7,238
chess,8,238
chess,1,239
chess,2,239
chess,3,239
chess,4,239
chess,5,239
chess,6,239
chess,7,239
chess,8,239
chess,1,252
chess,2,252
chess,3,252
chess,4,252
chess,5,252
chess,6,252
chess,7,252
chess,8,252
chess,1,253
chess,2,253
chess,3,253
chess,4,253
chess,5,253
chess,6,253
chess,7,253
chess,8,253
chess,1,254
chess,2,254
chess,3,254
chess,4,254
chess,5,254
chess,6,254
chess,7,254
chess,8,254
chess,1,256
chess,2,256
chess,3,256
chess,4,256
chess,5,256
chess,6,256
chess,7,256
chess,8,256
chess,1,257
chess,2,257
chess,3,257
chess,4,257
chess,5,257
chess,6,257
chess,7,257
chess,8,257
chess,1,258
chess,2,258
chess,3,258
chess,4,258
chess,5,258
chess,6,258
chess,7,258
chess,8,258
chess,1,259
chess,2,259
chess,3,259
chess,4,259
chess,5,259
chess,6,259
chess,7,259
chess,8,259
chess,1,260
chess,2,260
chess,3,260
chess,4,260
chess,5,260
chess,6,260
chess,7,260
chess,8,260
chess,1,261
chess,2,261
chess,3,261
chess,4,261
chess,5,261
chess,6,261
chess,7,261
chess,8,261
chess,1,262
chess,2,262
chess,3,262
chess,4,262
chess,5,262
chess,6,262
chess,7,262
chess,8,262
chess,1,263
chess,2,263
chess,3,263
chess,4,263
chess,5,263
chess,6,263
chess,7,263
chess,8,263
chess,1,264
chess,2,264
chess,3,264
chess,4,264
chess,5,264
chess,6,264
chess,7,264
chess,8,264
chess,1,265
chess,2,265
chess,3,265
chess,4,265
chess,5,265
chess,6,265
chess,7,265
chess,8,265
chess,1,266
chess,2,266
chess,3,266
chess,4,266
chess,5,266
chess,6,266
chess,7,266
chess,8,266
chess,1,268
chess,2,268
chess,3,268
chess,4,268
chess,5,268
chess,6,268
chess,7,268
chess,8,268
chess,1,269
chess,2,269
chess,3,269
chess,4,269
chess,5,269
chess,6,269
chess,7,269
chess,8,269
chess,1,270
chess,2,270
chess,3,270
chess,4,270
chess,5,270
chess,6,270
chess,7,270
chess,8,270
chess,1,271
chess,2,271
chess,3,271
chess,4,271
chess,5,271
chess,6,271
chess,7,271
chess,8,271
chess,1,272
chess,2,272
chess,3,272
chess,4,272
chess,5,272
chess,6,272
chess,7,272
chess,8,272
chess,1,277
chess,2,277
chess,3,277
chess,4,277
chess,5,277
chess,6,277
chess,7,277
chess,8,277
chess,1,279
chess,2,279
chess,3,279
chess,4,279
chess,5,279
chess,6,279
chess,7,279
chess,8,279
chess,1,280
chess,2,280
chess,3,280
chess,4,280
chess,5,280
chess,6,280
chess,7,280
chess,8,280
chess,1,282
chess,2,282
chess,3,282
chess,4,282
chess,5,282
chess,6,282
chess,7,282
chess,8,282
chess,1,284
chess,2,284
chess,3,284
chess,4,284
chess,5,284
chess,6,284
chess,7,284
chess,8,284
chess,1,285
chess,2,285
chess,3,285
chess,4,285
chess,5,285
chess,6,285
chess,7,285
chess,8,285
chess,1,286
chess,2,286
chess,3,286
chess,4,286
chess,5,286
chess,6,286
chess,7,286
chess,8,286
chess,1,291
chess,2,291
chess,3,291
chess,4,291
chess,5,291
chess,6,291
chess,7,291
chess,8,291
chess,1,292
chess,2,292
chess,3,292
chess,4,292
chess,5,292
chess,6,292
chess,7,292
chess,8,292
chess,1,293
chess,2,293
chess,3,293
chess,4,293
chess,5,293
chess,6,293
chess,7,293
chess,8,293
chess,1,295
chess,2,295
chess,3,295
chess,4,295
chess,5,295
chess,6,295
chess,7,295
chess,8,295
chess,1,296
chess,2,296
chess,3,296
chess,4,296
chess,5,296
chess,6,296
chess,7,296
chess,8,296
chess,1,298
chess,2,298
chess,3,298
chess,4,298
chess,5,298
chess,6,298
chess,7,298
chess,8,298
chess,1,300
chess,2,300
chess,3,300
chess,4,300
chess,5,300
chess,6,300
chess,7,300
chess,8,300
chess,1,376
chess,2,376
chess,3,376
chess,4,376
chess,5,376
chess,6,376
chess,7,376
chess,8,376
chess,1,377
chess,2,377
chess,3,377
chess,4,377
chess,5,377
chess,6,377
chess,7,377
chess,8,377
chess,1,378
chess,2,378
chess,3,378
chess,4,378
chess,5,378
chess,6,378
chess,7,378
chess,8,378
chess,1,379
chess,2,379
chess,3,379
chess,4,379
chess,5,379
chess,6,379
chess,7,379
chess,8,379
chess,1,380
chess,2,380
chess,3,380
chess,4,380
chess,5,380
chess,6,380
chess,7,380
chess,8,380
chess,1,381
chess,2,381
chess,3,381
chess,4,381
chess,5,381
chess,6,381
chess,7,381
chess,8,381
chess,1,382
chess,2,382
chess,3,382
chess,4,382
chess,5,382
chess,6,382
chess,7,382
chess,8,382
chess,1,383
chess,2,383
chess,3,383
chess,4,383
chess,5,383
chess,6,383
chess,7,383
chess,8,383
chess,1,384
chess,2,384
chess,3,384
chess,4,384
chess,5,384
chess,6,384
chess,7,384
chess,8,384
chess,1,385
chess,2,385
chess,3,385
chess,4,385
chess,5,385
chess,6,385
chess,7,385
chess,8,385
chess,1,387
chess,2,387
chess,3,387
chess,4,387
chess,5,387
chess,6,387
chess,7,387
chess,8,387
chess,1,388
chess,2,388
chess,3,388
chess,4,388
chess,5,388
chess,6,388
chess,7,388
chess,8,388
chess,1,389
chess,2,389
chess,3,389
chess,4,389
chess,5,389
chess,6,389
chess,7,389
chess,8,389
chess,1,390
chess,2,390
chess,3,390
chess,4,390
chess,5,390
chess,6,390
chess,7,390
chess,8,390
chess,1,391
chess,2,391
chess,3,391
chess,4,391
chess,5,391
chess,6,391
chess,7,391
chess,8,391
chess,1,392
chess,2,392
chess,3,392
chess,4,392
chess,5,392
chess,6,392
chess,7,392
chess,8,392
chess,1,393
chess,2,393
chess,3,393
chess,4,393
chess,5,393
chess,6,393
chess,7,393
chess,8,393
chess,1,394
chess,2,394
chess,3,394
chess,4,394
chess,5,394
chess,6,394
chess,7,394
chess,8,394
chess,1,395
chess,2,395
chess,3,395
chess,4,395
chess,5,395
chess,6,395
chess,7,395
chess,8,395
chess,1,396
chess,2,396
chess,3,396
chess,4,396
chess,5,396
chess,6,396
chess,7,396
chess,8,396
chess,1,398
chess,2,398
chess,3,398
chess,4,398
chess,5,398
chess,6,398
chess,7,398
chess,8,398
chess,1,400
chess,2,400
chess,3,400
chess,4,400
chess,5,400
chess,6,400
chess,7,400
chess,8,400
chess,1,401
chess,2,401
chess,3,401
chess,4,401
chess,5,401
chess,6,401
chess,7,401
chess,8,401
chess,1,413
chess,2,413
chess,3,413
chess,4,413
chess,5,413
chess,6,413
chess,7,413
chess,8,413
chess,1,414
chess,2,414
chess,3,414
chess,4,414
chess,5,414
chess,6,414
chess,7,414
chess,8,414
chess,1,416
chess,2,416
chess,3,416
chess,4,416
chess,5,416
chess,6,416
chess,7,416
chess,8,416
chess,1,418
chess,2,418
chess,3,418
chess,4,418
chess,5,418
chess,6,418
chess,7,418
chess,8,418
chess,1,419
chess,2,419
chess,3,419
chess,4,419
chess,5,419
chess,6,419
chess,7,419
chess,8,419
chess,1,422
chess,2,422
chess,3,422
chess,4,422
chess,5,422
chess,6,422
chess,7,422
chess,8,422
chess,1,423
chess,2,423
chess,3,423
chess,4,423
chess,5,423
chess,6,423
chess,7,423
chess,8,423
chess,1,424
chess,2,424
chess,3,424
chess,4,424
chess,5,424
chess,6,424
chess,7,424
chess,8,424
chess,1,425
chess,2,425
chess,3,425
chess,4,425
chess,5,425
chess,6,425
chess,7,425
chess,8,425
chess,1,427
chess,2,427
chess,3,427
chess,4,427
chess,5,427
chess,6,427
chess,7,427
chess,8,427
chess,1,439
chess,2,439
chess,3,439
chess,4,439
chess,5,439
chess,6,439
chess,7,439
chess,8,439
chess,1,440
chess,2,440
chess,3,440
chess,4,440
chess,5,440
chess,6,440
chess,7,440
chess,8,440
chess,1,441
chess,2,441
chess,3,441
chess,4,441
chess,5,441
chess,6,441
chess,7,441
chess,8,441
chess,1,443
chess,2,443
chess,3,443
chess,4,443
chess,5,443
chess,6,443
chess,7,443
chess,8,443
chess,1,444
chess,2,444
chess,3,444
chess,4,444
chess,5,444
chess,6,444
chess,7,444
chess,8,444
chess,1,445
chess,2,445
chess,3,445
chess,4,445
chess,5,445
chess,6,445
chess,7,445
chess,8,445
chess,1,446
chess,2,446
chess,3,446
chess,4,446
chess,5,446
chess,6,446
chess,7,446
chess,8,446
chess,1,449
chess,2,449
chess,3,449
chess,4,449
chess,5,449
chess,6,449
chess,7,449
chess,8,449
chess,1,450
chess,2,450
chess,3,450
chess,4,450
chess,5,450
chess,6,450
chess,7,450
chess,8,450
chess,1,451
chess,2,451
chess,3,451
chess,4,451
chess,5,451
chess,6,451
chess,7,451
chess,8,451
chess,1,452
chess,2,452
chess,3,452
chess,4,452
chess,5,452
chess,6,452
chess,7,452
chess,8,452
chess,1,461
chess,2,461
chess,3,461
chess,4,461
chess,5,461
chess,6,461
chess,7,461
chess,8,461
chess,1,462
chess,2,462
chess,3,462
chess,4,462
chess,5,462
chess,6,462
chess,7,462
chess,8,462
chess,1,463
chess,2,463
chess,3,463
chess,4,463
chess,5,463
chess,6,463
chess,7,463
chess,8,463
chess,1,464
chess,2,464
chess,3,464
chess,4,464
chess,5,464
chess,6,464
chess,7,464
chess,8,464
chess,1,465
chess,2,465
chess,3,465
chess,4,465
chess,5,465
chess,6,465
chess,7,465
chess,8,465
chess,1,466
chess,2,466
chess,3,466
chess,4,466
chess,5,466
chess,6,466
chess,7,466
chess,8,466
chess,1,467
chess,2,467
chess,3,467
chess,4,467
chess,5,467
chess,6,467
chess,7,467
chess,8,467
chess,1,471
chess,2,471
chess,3,471
chess,4,471
chess,5,471
chess,6,471
chess,7,471
chess,8,471
chess,1,476
chess,2,476
chess,3,476
chess,4,476
chess,5,476
chess,6,476
chess,7,476
chess,8,476
chess,1,480
chess,2,480
chess,3,480
chess,4,480
chess,5,480
chess,6,480
chess,7,480
chess,8,480
chess,1,481
chess,2,481
chess,3,481
chess,4,481
chess,5,481
chess,6,481
chess,7,481
chess,8,481
chess,1,482
chess,2,482
chess,3,482
chess,4,482
chess,5,482
chess,6,482
chess,7,482
chess,8,482
chess,1,483
chess,2,483
chess,3,483
chess,4,483
chess,5,483
chess,6,483
chess,7,483
chess,8,483
chess,1,485
chess,2,485
chess,3,485
chess,4,485
chess,5,485
chess,6,485
chess,7,485
chess,8,485
chess,1,486
chess,2,486
chess,3,486
chess,4,486
chess,5,486
chess,6,486
chess,7,486
chess,8,486
chess,1,487
chess,2,487
chess,3,487
chess,4,487
chess,5,487
chess,6,487
chess,7,487
chess,8,487
chess,1,488
chess,2,488
chess,3,488
chess,4,488
chess,5,488
chess,6,488
chess,7,488
chess,8,488
chess,1,489
chess,2,489
chess,3,489
chess,4,489
chess,5,489
chess,6,489
chess,7,489
chess,8,489
chess,1,490
chess,2,490
chess,3,490
chess,4,490
chess,5,490
chess,6,490
chess,7,490
chess,8,490
chess,1,491
chess,2,491
chess,3,491
chess,4,491
chess,5,491
chess,6,491
chess,7,491
chess,8,491
chess,1,492
chess,2,492
chess,3,492
chess,4,492
chess,5,492
chess,6,492
